64600:15000	10481:11073	VRF-PIERO
64600:15001	10481:11093	VRF-BBVA-BANCO-FRANCES-SA
64600:15002	10481:11056	VRF-UTHGRA
64600:15003	10481:11057	VRF-SERVICIO-ELECTRONICO-DE-PAGO-SA
64600:15004	10481:11127	VRF-AXION-ENERGY-ARGENTINA-SA
64600:15005	10481:11135	VRF-AXION-ENERGY-ARGENTINA-INTERNET
64600:15006	10481:11198	VRF-ASOCIACION-ARGENTINA-DE-GOLF
64600:15007	10481:11037	VRF-NEUMASUR-SA
64600:15008	10481:11064	VRF-SWISS.MEDICAL
64600:15009	10481:11042	VRF-GIMNASIOS-ARGENTINOS-SA
64600:15010	10481:11027	VRF-FAST-FOOD-SUDAMERICANA-SA
64600:15011	10481:11014	VRF-PETROBRAS-ENERGIA-SA
64600:15012	10481:11025	VRF-STARBUCKS-COFFEE-ARGENTINA-SRL
64600:15013	10481:11181	VRF-CUSPIDE-LIBROS-SA
64600:15014	10481:11103	VRF-BANCO-PATAGONIA-SA
64600:15015	10481:11121	VRF-ARCOS-DORADOS-ARGENTINA-SA
64600:15016	10481:11211	VRF-JARDIN-DEL-PILAR-SA
64600:15017	10481:11069	VRF-COTO-CENTRO-INTEGRAL-DE-COMERCIALIZACION-SA
64600:15018	10481:11114	VRF-FRAVEGA-SACIEI
64600:15019	10481:11022	VRF-PLUSPETROL-SA
64600:15020	10481:11125	VRF-GCBA-ESCUELAS
64600:15021	10481:11299	VRF-ALEA-BROKER-SEGUROS-SA
64600:15022	10481:11020	VRF-BANCO-SUPERVIELLE-SA
64600:15023	10481:11002	VRF-YPF-SA
64600:15024	10481:11194	VRF-METROGAS-SA
64600:15025	10481:11036	VRF-DARC-LIBERTADOR-SA
64600:15026	10481:11044	VRF-CONSEJO-DE-LA-MAGISTRATURA
64600:15027	10481:11050	VRF-CENCOSUD-SA
64600:15028	10481:11168	VRF-ARCOS-DORADOS-ARGENTINA-SA-FIBERTELZONE
64600:15029	10481:11039	VRF-GCBA-HOSPITALES
64600:15030	10481:11003	VRF-BANCO-DE-LA-CIUDAD-DE-BUENOS-AIRES
64600:15031	10481:11023	VRF-FUND-IBEROAME-DE-ESTUDIOS-SUPERIORES
64600:15032	10481:11070	VRF-GARBARINO-SA
64600:15033	10481:11001	VRF-HOYTS-GENERAL-CINEMA-DE-ARGEN
64600:15034	10481:11045	VRF-CAPILATIS-SA
64600:15035	10481:11072	VRF-FARMACITY-SA-2
64600:15036	10481:11182	VRF-IFX-NETWORKS-ARGENTINA-SRL-4
64600:15037	10481:11242	VRF-METROGAS-SA-2
64600:15038	10481:11063	VRF-ICBC-STANDARBANK
64600:15039	10481:11061	VRF-BANCO-HIPOTECARIO-SA
64600:15040	10481:11278	VRF-LA-CAJA-ART
64600:15041	10481:11282	VRF-SAECO-ARGENTINA-SA
64600:15042	10481:11298	VRF-AUTOSPECIAL-SA
64600:15043	10481:11178	VRF-ARCOS-DORADORS-PROVEEDORES
64600:15044	10481:11077	VRF-EDENOR 
64600:15045	10481:11009	VRF-UTN 
64600:15046	10481:11068	VRF-SECURITAS.ARGENTINA-SA 
64600:15047	10481:11131	VRF-NEURALSOFT-SRL 
